id,name,type_1,type_2,height,weight,category,abilities,habitat,color,is_legendary,is_mythical,evolution_chain
1,bulbasaur,Grass,Poison,7,69,bulbasaur,"['overgrow', 'chlorophyll']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/1/
2,ivysaur,Grass,Poison,10,130,ivysaur,"['overgrow', 'chlorophyll']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/1/
3,venusaur,Grass,Poison,20,1000,venusaur,"['overgrow', 'chlorophyll']",grassland,green,False,False,https://pokeapi.co/api/v2/evolution-chain/1/
4,charmander,Fire,,6,85,charmander,"['blaze', 'solar-power']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/2/
5,charmeleon,Fire,,11,190,charmeleon,"['blaze', 'solar-power']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/2/
6,charizard,Fire,Flying,17,905,charizard,"['blaze', 'solar-power']",mountain,red,False,False,https://pokeapi.co/api/v2/evolution-chain/2/
7,squirtle,Water,,5,90,squirtle,"['torrent', 'rain-dish']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/3/
8,wartortle,Water,,10,225,wartortle,"['torrent', 'rain-dish']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/3/
9,blastoise,Water,,16,855,blastoise,"['torrent', 'rain-dish']",waters-edge,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/3/
10,caterpie,Bug,,3,29,caterpie,"['shield-dust', 'run-away']",forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/4/
11,metapod,Bug,,7,99,metapod,['shed-skin'],forest,green,False,False,https://pokeapi.co/api/v2/evolution-chain/4/
12,butterfree,Bug,Flying,11,320,butterfree,"['compound-eyes', 'tinted-lens']",forest,white,False,False,https://pokeapi.co/api/v2/evolution-chain/4/
13,weedle,Bug,Poison,3,32,weedle,"['shield-dust', 'run-away']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/5/
14,kakuna,Bug,Poison,6,100,kakuna,['shed-skin'],forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/5/
15,beedrill,Bug,Poison,10,295,beedrill,"['swarm', 'sniper']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/5/
16,pidgey,Normal,Flying,3,18,pidgey,"['keen-eye', 'tangled-feet', 'big-pecks']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/6/
17,pidgeotto,Normal,Flying,11,300,pidgeotto,"['keen-eye', 'tangled-feet', 'big-pecks']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/6/
18,pidgeot,Normal,Flying,15,395,pidgeot,"['keen-eye', 'tangled-feet', 'big-pecks']",forest,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/6/
19,rattata,Normal,,3,35,rattata,"['run-away', 'guts', 'hustle']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/7/
20,raticate,Normal,,7,185,raticate,"['run-away', 'guts', 'hustle']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/7/
21,spearow,Normal,Flying,3,20,spearow,"['keen-eye', 'sniper']",rough-terrain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/8/
22,fearow,Normal,Flying,12,380,fearow,"['keen-eye', 'sniper']",rough-terrain,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/8/
23,ekans,Poison,,20,69,ekans,"['intimidate', 'shed-skin', 'unnerve']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/9/
24,arbok,Poison,,35,650,arbok,"['intimidate', 'shed-skin', 'unnerve']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/9/
25,pikachu,Electric,,4,60,pikachu,"['static', 'lightning-rod']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/10/
26,raichu,Electric,,8,300,raichu,"['static', 'lightning-rod']",forest,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/10/
27,sandshrew,Ground,,6,120,sandshrew,"['sand-veil', 'sand-rush']",rough-terrain,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/11/
28,sandslash,Ground,,10,295,sandslash,"['sand-veil', 'sand-rush']",rough-terrain,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/11/
29,nidoran-f,Poison,,4,70,nidoran-f,"['poison-point', 'rivalry', 'hustle']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/12/
30,nidorina,Poison,,8,200,nidorina,"['poison-point', 'rivalry', 'hustle']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/12/
31,nidoqueen,Poison,Ground,13,600,nidoqueen,"['poison-point', 'rivalry', 'sheer-force']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/12/
32,nidoran-m,Poison,,5,90,nidoran-m,"['poison-point', 'rivalry', 'hustle']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/13/
33,nidorino,Poison,,9,195,nidorino,"['poison-point', 'rivalry', 'hustle']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/13/
34,nidoking,Poison,Ground,14,620,nidoking,"['poison-point', 'rivalry', 'sheer-force']",grassland,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/13/
35,clefairy,Fairy,,6,75,clefairy,"['cute-charm', 'magic-guard', 'friend-guard']",mountain,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/14/
36,clefable,Fairy,,13,400,clefable,"['cute-charm', 'magic-guard', 'unaware']",mountain,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/14/
37,vulpix,Fire,,6,99,vulpix,"['flash-fire', 'drought']",grassland,brown,False,False,https://pokeapi.co/api/v2/evolution-chain/15/
38,ninetales,Fire,,11,199,ninetales,"['flash-fire', 'drought']",grassland,yellow,False,False,https://pokeapi.co/api/v2/evolution-chain/15/
39,jigglypuff,Normal,Fairy,5,55,jigglypuff,"['cute-charm', 'competitive', 'friend-guard']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/16/
40,wigglytuff,Normal,Fairy,10,120,wigglytuff,"['cute-charm', 'competitive', 'frisk']",grassland,pink,False,False,https://pokeapi.co/api/v2/evolution-chain/16/
41,zubat,Poison,Flying,8,75,zubat,"['inner-focus', 'infiltrator']",cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/17/
42,golbat,Poison,Flying,16,550,golbat,"['inner-focus', 'infiltrator']",cave,purple,False,False,https://pokeapi.co/api/v2/evolution-chain/17/
43,oddish,Grass,Poison,5,54,oddish,"['chlorophyll', 'run-away']",grassland,blue,False,False,https://pokeapi.co/api/v2/evolution-chain/18/
